-3	-11
-2.9	-10.21
-2.8	-9.44
-2.7	-8.69
-2.6	-7.96
-2.5	-7.25
-2.4	-6.56
-2.3	-5.89
-2.2	-5.24
-2.1	-4.61
-2.0	-4
-1.9	-3.41
-1.8	-2.84
-1.7	-2.29
-1.6	-1.76
-1.5	-1.25
-1.4	-0.76
-1.3	-0.29
-1.2	0.16
-1.1	0.59
-1.0	1
-0.9	1.39
-0.8	1.76
-0.7	2.11
-0.6	2.44
-0.5	2.75
-0.4	3.04
-0.3	3.31
-0.2	3.56
-0.1	3.79
0.0	4.0
0.1	4.19
0.2	4.36
0.3	4.51
0.4	4.64
0.5	4.75
0.6	4.84
0.7	4.91
0.8	4.96
0.9	4.99
1.0	5
1.1	4.99
1.2	4.96
1.3	4.91
1.4	4.84
1.5	4.75
1.6	4.64
1.7	4.51
1.8	4.36
1.9	4.19
2.0	4
2.1	3.79
2.2	3.56
2.3	3.31
2.4	3.04
2.5	2.75
2.6	2.44
2.7	2.11
2.8	1.76
2.9	1.39
3.0	1
3.1	0.59
3.2	0.16
3.3	-0.29
3.4	-0.76
3.5	-1.25
3.6	-1.76
3.7	-2.29
3.8	-2.84
3.9	-3.41
4.0	-4
4.1	-4.61
4.2	-5.24
4.3	-5.89
4.4	-6.56
4.5	-7.25
4.6	-7.96
4.7	-8.69
4.8	-9.44
4.9	-10.21
5.0	-11
